01|VENDAS|050|01|202301030343|20230103|20230103|16731862000124|07216054000138
02|01|00000000000000008110|01|01|20221201|00000000000000000000|10441261000109000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000008110|01|7891173024978|02|15|0|31.|00|00|00|00|00|00
02|01|00000000000000013107|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000013107|01|7891173023001|01|24|0|24.|00|00|00|00|00|00
03|00000000000000013107|01|7891173023063|01|30|0|30.|00|00|00|00|00|00
02|01|00000000000000013114|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000013114|01|7891173022967|01|50|0|50.|00|00|00|00|00|00
02|01|00000000000000013116|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000013116|01|7891173023001|01|24|0|24.|00|00|00|00|00|00
02|01|00000000000000013119|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000013119|01|7891173023001|02|24|0|49.|00|00|00|00|00|00
02|01|00000000000000013126|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000013126|01|7891173023001|01|24|0|24.|00|00|00|00|00|00
02|01|00000000000000013127|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000013127|01|7891173023001|01|24|0|24.|00|00|00|00|00|00
02|01|00000000000000013137|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000013137|01|7891173023063|01|30|0|30.|00|00|00|00|00|00
02|01|00000000000000018597|01|01|20221201|00000000000000000000|27379123000131000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000018597|01|7891173023001|12|19|0|238|00|00|00|00|00|00
02|01|00000000000000018598|01|01|20221201|00000000000000000000|27379123000131000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000018598|01|7891173025067|02|6.|0|13.|00|00|00|00|00|00
03|00000000000000018598|01|7891173025074|02|8.|0|16.|00|00|00|00|00|00
02|01|00000000000000018599|01|01|20221201|00000000000000000000|00323439000155000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000018599|01|7891173023001|20|19|0|380|00|00|00|00|00|00
02|01|00000000000000018604|01|01|20221201|00000000000000000000|05622046000166000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000018604|01|7891173023001|70|19|0|138|00|00|00|00|00|00
02|01|00000000000000018605|01|01|20221201|00000000000000000000|00323439000155000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000018605|01|7891173023001|20|19|0|390|00|00|00|00|00|00
02|01|00000000000000018606|01|01|20221201|00000000000000000000|06347956000140000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000018606|01|7891173023001|20|21|0|431|00|00|00|00|00|00
02|01|00000000000000018608|01|01|20221201|00000000000000000000|00323439000155000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000018608|01|7891173023001|20|19|0|390|00|00|00|00|00|00
02|01|00000000000000018610|01|01|20221201|00000000000000000000|13149581000170000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000018610|01|7891173023001|10|21|0|215|00|00|00|00|00|00
02|01|00000000000000021265|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000021265|01|7891173063502|01|24|0|24.|00|00|00|00|00|00
02|01|00000000000000021279|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000021279|01|7000000033639|01|1.|0|1.6|00|00|00|00|00|00
02|01|00000000000000021281|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000021281|01|7891173023001|02|24|0|49.|00|00|00|00|00|00
02|01|00000000000000021283|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000021283|01|7891173063502|01|24|0|24.|00|00|00|00|00|00
02|01|00000000000000021284|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000021284|01|7891173025074|04|8.|0|33.|00|00|00|00|00|00
02|01|00000000000000021295|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000021295|01|7891173063502|01|24|0|24.|00|00|00|00|00|00
02|01|00000000000000021305|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000021305|01|7000000022035|01|.4|0|.45|00|00|00|00|00|00
03|00000000000000021305|01|7000000033639|01|1.|0|1.6|00|00|00|00|00|00
02|01|00000000000000031955|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000031955|01|7000000033639|01|1.|0|1.6|00|00|00|00|00|00
02|01|00000000000000031959|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000031959|01|7000000033639|01|1.|0|1.6|00|00|00|00|00|00
02|01|00000000000000031960|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000031960|01|7891173023001|10|24|0|249|00|00|00|00|00|00
02|01|00000000000000031972|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000031972|01|7891173063502|02|24|0|49.|00|00|00|00|00|00
02|01|00000000000000031982|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000031982|01|7891173023001|01|24|0|24.|00|00|00|00|00|00
02|01|00000000000000031984|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000031984|01|7891173063502|02|24|0|49.|00|00|00|00|00|00
02|01|00000000000000031985|01|01|20221201|00000000000000000000|11111111111000000000|RJ|21010410|RJ|00000000|CIF|01
03|00000000000000031985|01|7891173063502|02|24|0|49.|00|00|00|00|00|00
